Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-28 11:05:49.019,25.291,0.024,0.000,0.000,0.000,0.000,25.950,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.320
2025-03-28 11:05:50.027,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.015,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.980
2025-03-28 11:05:51.035,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,1.650
2025-03-28 11:05:52.058,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.015,0.000,0.000,1.667,0.000,62.000,0.000,50.900,1.670
2025-03-28 11:05:53.066,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.600
2025-03-28 11:05:54.073,25.291,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,2.941,0.000,26.043,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.650
2025-03-28 11:05:55.081,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,1.600
2025-03-28 11:05:56.088,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.480
2025-03-28 11:05:57.096,25.611,0.024,0.000,0.000,0.000,0.000,25.950,0.017,0.000,0.000,0.000,0.000,26.043,0.016,0.000,0.000,1.667,0.000,62.000,0.000,50.900,1.980
2025-03-28 11:05:58.104,25.291,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.450
2025-03-28 11:05:59.112,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.043,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.560
2025-03-28 11:06:00.118,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.015,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.590
2025-03-28 11:06:04.148,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,2.941,0.000,26.372,0.016,0.000,0.000,1.667,0.000,62.000,0.000,51.000,1.370
2025-03-28 11:06:05.156,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,1.640
2025-03-28 11:06:06.164,25.611,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,1.660
2025-03-28 11:06:07.171,25.291,0.024,0.000,0.000,0.000,0.000,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,1.600
2025-03-28 11:06:08.180,25.611,0.366,2.941,2.941,8.824,0.333,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.015,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.520
2025-03-28 11:06:09.187,25.291,0.771,8.824,20.588,20.588,0.429,25.950,0.017,0.000,0.000,2.941,0.000,26.043,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.870
2025-03-28 11:06:10.195,25.611,0.771,8.824,20.588,20.588,0.429,26.279,0.017,0.000,0.000,0.000,0.000,26.043,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.750
2025-03-28 11:06:11.202,25.611,1.542,11.765,44.118,44.118,0.267,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.340
2025-03-28 11:06:12.210,25.611,1.503,14.706,44.118,44.118,0.333,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.210
2025-03-28 11:06:13.218,25.611,1.542,20.588,44.118,44.118,0.467,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.220
2025-03-28 11:06:14.227,25.611,1.542,14.706,44.118,44.118,0.333,25.950,0.017,0.000,0.000,0.000,0.000,26.372,0.015,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.030
2025-03-28 11:06:15.235,25.611,1.542,14.706,44.118,44.118,0.333,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.670
2025-03-28 11:06:16.244,25.611,3.084,26.471,44.118,91.176,0.290,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.670
2025-03-28 11:06:17.253,25.611,1.542,20.588,44.118,44.118,0.467,25.950,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,1.667,0.000,62.000,0.000,50.900,1.750
2025-03-28 11:06:18.262,25.611,1.542,20.588,44.118,44.118,0.467,26.279,0.017,0.000,0.000,2.941,0.000,25.713,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.450
2025-03-28 11:06:21.273,25.611,1.542,11.765,44.118,44.118,0.267,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.630
2025-03-28 11:06:23.283,25.611,1.542,14.706,44.118,44.118,0.333,26.279,0.016,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,1.840
2025-03-28 11:06:25.294,25.611,1.542,11.765,44.118,44.118,0.267,26.279,0.017,0.000,0.000,0.000,0.000,26.043,0.016,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.570
2025-03-28 11:06:27.304,25.611,0.771,8.824,20.588,20.588,0.429,26.279,0.017,0.000,0.000,0.000,0.000,26.372,0.016,0.000,0.000,1.667,0.000,62.000,0.000,51.000,2.740
2025-03-28 11:06:29.313,25.611,0.771,8.824,20.588,20.588,0.429,26.279,0.017,0.000,0.000,2.941,0.000,26.372,0.016,0.000,0.000,0.000,0.000,62.000,0.000,51.000,2.660
