Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-25 12:33:23.783,1.400,0.016,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,89.879,0.000,51.100,3.210
2025-03-25 12:33:24.794,1.440,0.022,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,10.178,0.000,0.000,0.000,0.000,0.000,97.636,0.000,51.000,3.230
2025-03-25 12:33:25.802,1.400,0.016,0.000,0.000,0.000,0.000,6.061,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,102.485,0.000,51.100,3.210
2025-03-25 12:33:26.810,1.460,0.015,0.000,0.000,0.000,0.000,6.061,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,96.424,0.000,51.000,3.190
2025-03-25 12:33:27.832,1.580,0.024,0.000,0.000,0.000,0.000,6.359,0.000,0.000,0.000,0.000,0.000,10.853,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.190
2025-03-25 12:33:28.840,1.560,0.015,0.000,0.000,0.000,0.000,6.277,0.000,0.000,0.000,0.000,0.000,10.842,0.000,0.000,0.000,0.000,0.000,83.879,0.000,51.100,3.180
2025-03-25 12:33:29.848,1.460,0.013,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,11.182,0.000,0.000,0.000,0.000,0.000,73.879,0.000,51.000,3.190
2025-03-25 12:33:30.856,1.400,0.014,0.000,0.000,0.000,0.000,6.092,0.000,0.000,0.000,0.000,0.000,9.843,0.000,0.000,0.000,0.000,0.000,100.485,0.000,51.000,3.240
2025-03-25 12:33:31.864,1.400,0.015,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,102.485,0.000,51.100,3.200
2025-03-25 12:33:32.872,1.400,0.014,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,96.424,0.000,51.000,3.220
2025-03-25 12:33:33.880,1.400,0.012,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,84.606,0.000,51.000,3.230
2025-03-25 12:33:34.887,1.400,0.015,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,103.818,0.000,51.100,3.230
2025-03-25 12:33:35.895,1.400,0.015,0.000,0.000,0.000,0.000,6.036,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,103.030,0.000,51.000,3.240
2025-03-25 12:33:36.903,1.400,0.016,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,100.182,0.000,51.000,3.230
2025-03-25 12:33:37.921,1.400,0.015,0.0A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apperant Power,A Phase Power factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apperant Power,B Phase Power factorC Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apperant Power,C Phase Power factorFrequency,DC Voltage,DC Current,Temperature
2025-03-25 12:33:38.930,1.400,0.013,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,10.183,0.000,0.000,0.000,0.000,0.000,98.848,0.000,51.000,3.220
2025-03-25 12:33:39.938,1.460,0.015,0.000,0.000,0.000,0.000,6.005,0.000,0.000,0.000,0.000,0.000,9.838,0.000,0.000,0.000,0.000,0.000,81.758,0.000,51.000,3.230
2025-03-25 12:33:40.947,1.480,0.000,0.000,0.000,0.000,0.000,6.061,0.000,0.000,0.000,0.000,0.000,10.518,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.200
2025-03-25 12:33:41.955,1.420,0.000,0.000,0.000,0.000,0.000,6.020,0.000,0.000,0.000,0.000,0.000,11.512,0.000,0.000,0.000,0.000,0.000,113.273,0.000,51.000,3.240
2025-03-25 12:33:42.963,1.460,0.014,0.000,0.000,0.000,0.000,6.287,0.000,0.000,0.000,0.000,0.000,10.173,0.000,0.000,0.000,0.000,0.000,82.848,0.000,51.000,3.230
2025-03-25 12:33:43.971,1.440,0.010,0.000,0.000,0.000,0.000,6.292,0.000,0.000,0.000,0.000,0.000,10.173,0.000,0.000,0.000,0.000,0.000,80.000,0.000,51.000,3.210
