Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-29 19:17:48.784,1.601,0.000,0.000,0.000,0.000,0.000,6.472,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.130
2025-03-29 19:17:49.792,1.580,0.002,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,10.873,0.000,0.000,0.000,0.000,0.000,55.212,0.000,51.000,3.050
2025-03-29 19:17:50.804,1.560,0.000,0.000,0.000,0.000,0.000,6.513,0.000,0.000,0.000,0.000,0.000,11.208,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.110
2025-03-29 19:17:51.811,1.580,0.011,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.192,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.100
2025-03-29 19:17:52.819,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.120
2025-03-29 19:17:53.827,1.580,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,11.862,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.110
2025-03-29 19:17:54.834,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.040
2025-03-29 19:17:55.843,1.560,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.010
2025-03-29 19:17:56.852,1.560,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.040
2025-03-29 19:17:57.861,1.541,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.192,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.130
2025-03-29 19:17:58.870,1.541,0.005,0.000,0.000,0.000,0.000,6.487,0.000,0.000,0.000,0.000,0.000,12.192,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.030
2025-03-29 19:17:59.878,1.580,0.000,0.000,0.000,0.000,0.000,6.513,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.110
2025-03-29 19:18:00.886,1.580,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.110
2025-03-29 19:18:01.894,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.020
2025-03-29 19:18:04.919,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.867,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,2.980
2025-03-29 19:18:05.928,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.070
2025-03-29 19:18:06.937,1.601,0.014,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,2.980
2025-03-29 19:18:07.945,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.020
2025-03-29 19:18:08.954,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,11.203,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.020
2025-03-29 19:18:09.964,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.060
2025-03-29 19:18:10.984,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.538,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.070
2025-03-29 19:18:11.994,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.020
2025-03-29 19:18:13.001,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.867,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.040
2025-03-29 19:18:14.009,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.538,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.000
2025-03-29 19:18:15.016,1.601,0.002,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.867,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.030
2025-03-29 19:18:16.024,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.538,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.100
2025-03-29 19:18:18.033,1.560,0.000,0.000,0.000,0.000,0.000,6.446,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.110
2025-03-29 19:18:21.044,1.601,0.000,0.000,0.000,0.000,0.000,6.487,0.000,0.000,0.000,0.000,0.000,12.192,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.030
2025-03-29 19:18:23.054,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.000
2025-03-29 19:18:26.065,1.580,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.110
2025-03-29 19:18:28.074,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.030
2025-03-29 19:18:31.084,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.100
2025-03-29 19:18:33.093,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.120
2025-03-29 19:18:35.102,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.862,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.020
2025-03-29 19:18:38.124,1.560,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.851,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.110
2025-03-29 19:18:40.133,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.010
2025-03-29 19:18:42.158,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,11.867,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.060
2025-03-29 19:18:45.170,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.100
2025-03-29 19:18:47.192,1.580,0.000,0.000,0.000,0.000,0.000,6.487,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.060
2025-03-29 19:18:50.201,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.100
2025-03-29 19:18:52.209,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.000
2025-03-29 19:18:54.218,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.010
2025-03-29 19:18:57.231,1.580,0.000,0.000,0.000,0.000,0.000,6.472,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,69.758,0.000,51.000,3.100
2025-03-29 19:18:59.253,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.851,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.090
2025-03-29 19:19:02.263,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.010
2025-03-29 19:19:04.282,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.110
2025-03-29 19:19:06.291,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.000
2025-03-29 19:19:09.301,1.601,0.000,0.000,0.000,0.000,0.000,6.446,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.990
2025-03-29 19:19:11.310,1.580,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.100
2025-03-29 19:19:13.320,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.070
2025-03-29 19:19:16.328,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.100
2025-03-29 19:19:18.337,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,2.970
2025-03-29 19:19:21.347,1.601,0.000,0.000,0.000,0.000,0.000,6.487,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.080
2025-03-29 19:19:23.356,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.100
2025-03-29 19:19:25.365,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.516,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.000
2025-03-29 19:19:28.375,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.070
2025-03-29 19:19:30.384,1.580,0.010,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,2.970
2025-03-29 19:19:33.396,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.050
2025-03-29 19:19:35.405,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.020
2025-03-29 19:19:37.414,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,2.970
2025-03-29 19:19:40.424,1.580,0.014,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.080
2025-03-29 19:19:42.432,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,12.856,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.020
