Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-29 19:26:22.669,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,51.000,3.010
2025-03-29 19:26:23.678,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,12.197,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.000
2025-03-29 19:26:24.688,1.601,0.000,0.000,0.000,0.000,0.000,6.487,0.000,0.000,0.000,0.000,0.000,11.538,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.130
2025-03-29 19:26:25.720,1.601,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,10.878,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.040
2025-03-29 19:26:26.730,1.580,0.000,0.000,0.000,0.000,0.000,6.528,0.000,0.000,0.000,0.000,0.000,11.208,0.000,0.000,0.000,0.000,0.000,124.061,0.000,50.900,3.070
2025-03-29 19:26:27.742,1.560,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.110
2025-03-29 19:26:28.748,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.020
2025-03-29 19:26:29.779,1.601,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,62.000,0.000,50.900,3.080
2025-03-29 19:26:30.787,1.580,0.000,0.000,0.000,0.000,0.000,6.570,0.000,0.000,0.000,0.000,0.000,13.186,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,3.100
2025-03-29 19:26:31.797,1.601,0.000,0.000,0.000,0.000,0.000,6.467,0.000,0.000,0.000,0.000,0.000,12.527,0.000,0.000,0.000,0.000,0.000,124.061,0.000,51.000,2.990
