Computer_TS,A Phase Voltage,A Phase Current,A Phase Active Power,A Phase Reactive Power,A Phase Apparent Power,A Power Factor,B Phase Voltage,B Phase Current,B Phase Active Power,B Phase Reactive Power,B Phase Apparent Power,B Power Factor,C Phase Voltage,C Phase Current,C Phase Active Power,C Phase Reactive Power,C Phase Apparent Power,C Power Factor,Frequency,DC Voltage,DC Current,Temperature
2025-03-29 19:17:51.238,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,3.234,60.400,5.620
2025-03-29 19:17:54.248,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.342,48.700,4.910
2025-03-29 19:17:56.256,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.332,48.500,4.900
2025-03-29 19:17:59.266,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.357,49.000,4.930
2025-03-29 19:18:02.276,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.347,48.700,4.920
2025-03-29 19:18:04.285,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.352,48.800,4.930
2025-03-29 19:18:07.294,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.352,48.800,4.920
2025-03-29 19:18:10.304,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.285,0.000,0.000,0.000,0.000,0.000,62.545,2.357,48.900,4.940
2025-03-29 19:18:12.313,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.367,49.200,4.960
2025-03-29 19:18:15.322,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.100,4.950
2025-03-29 19:18:18.332,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.247,0.000,0.000,0.000,0.000,0.000,62.485,2.357,49.000,4.940
2025-03-29 19:18:20.342,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.347,48.800,4.920
2025-03-29 19:18:23.352,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.352,48.800,4.920
2025-03-29 19:18:26.362,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.273,0.000,0.000,0.000,0.000,0.000,62.485,2.352,48.900,4.930
2025-03-29 19:18:29.373,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.362,49.100,4.950
2025-03-29 19:18:31.383,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.352,48.900,4.940
2025-03-29 19:18:34.392,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.352,48.900,4.940
2025-03-29 19:18:37.401,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.377,49.400,4.990
2025-03-29 19:18:39.410,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.357,49.000,4.950
2025-03-29 19:18:42.420,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.485,2.367,49.200,4.960
2025-03-29 19:18:45.429,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.243,0.000,0.000,0.000,0.000,0.000,62.545,2.357,49.000,4.950
2025-03-29 19:18:47.438,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.357,49.000,4.950
2025-03-29 19:18:50.448,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.200,4.960
2025-03-29 19:18:53.458,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.362,49.000,4.950
2025-03-29 19:18:55.466,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.357,49.000,4.940
2025-03-29 19:18:58.475,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.372,49.200,4.970
2025-03-29 19:19:01.485,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.362,49.100,4.960
2025-03-29 19:19:04.495,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.200,4.970
2025-03-29 19:19:06.503,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.362,49.100,4.950
2025-03-29 19:19:09.512,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.377,49.400,4.990
2025-03-29 19:19:12.522,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.362,49.000,4.950
2025-03-29 19:19:14.530,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.372,49.300,4.970
2025-03-29 19:19:17.540,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.362,49.100,4.950
2025-03-29 19:19:20.550,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.377,49.400,4.990
2025-03-29 19:19:22.559,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.200,4.960
2025-03-29 19:19:25.567,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.362,49.100,4.950
2025-03-29 19:19:28.576,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.545,2.367,49.200,4.970
2025-03-29 19:19:30.586,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.377,49.300,4.970
2025-03-29 19:19:33.596,9.280,0.000,0.000,0.000,0.000,0.000,6.240,0.000,0.000,0.000,0.000,0.000,8.294,0.000,0.000,0.000,0.000,0.000,62.485,2.372,49.300,4.980
